T3_convergence_shear_4x4
25	1	1	1
1	1	1	1	0	0	0.0
2	0	0	1	0.25	0	0.0
3	0	0	1	0.5	0	0.0
4	0	0	1	0.75	0	0.0
5	0	0	1	1	0	0.0
6	1	1	1	0	0.25	0.0
7	0	0	1	0.25	0.25	0.0
8	0	0	1	0.5	0.25	0.0
9	0	0	1	0.75	0.25	0.0
10	0	0	1	1	0.25	0.0
11	1	1	1	0	0.5	0.0
12	0	0	1	0.25	0.5	0.0
13	0	0	1	0.5	0.5	0.0
14	0	0	1	0.75	0.5	0.0
15	0	0	1	1	0.5	0.0
16	1	1	1	0	0.75	0.0
17	0	0	1	0.25	0.75	0.0
18	0	0	1	0.5	0.75	0.0
19	0	0	1	0.75	0.75	0.0
20	0	0	1	1	0.75	0.0
21	1	1	1	0	1	0.0
22	0	0	1	0.25	1	0.0
23	0	0	1	0.5	1	0.0
24	0	0	1	0.75	1	0.0
25	0	0	1	1	1	0.0
1
5
5	2	62.5
10	2	125
15	2	125
20	2	125
25	2	62.5
3	32	1
1	210000	0.3	1	1
1	1	2	7	1
2	1	7	6	1
3	2	3	8	1
4	2	8	7	1
5	3	4	9	1
6	3	9	8	1
7	4	5	10	1
8	4	10	9	1
9	6	7	12	1
10	6	12	11	1
11	7	8	13	1
12	7	13	12	1
13	8	9	14	1
14	8	14	13	1
15	9	10	15	1
16	9	15	14	1
17	11	12	17	1
18	11	17	16	1
19	12	13	18	1
20	12	18	17	1
21	13	14	19	1
22	13	19	18	1
23	14	15	20	1
24	14	20	19	1
25	16	17	22	1
26	16	22	21	1
27	17	18	23	1
28	17	23	22	1
29	18	19	24	1
30	18	24	23	1
31	19	20	25	1
32	19	25	24	1
